// range 230¿¡ scope 170ÀÌ º¸Åë¸Ê ¼³Á¤
// range_IN : ¸Ê¿¡ ÁøÀÔ½Ã range

// rotationFrom -360 , To : 360 ÀÌ º¸Åë¸Ê ¼³Á¤
// rotation_IN :  ¸Ê¿¡ ÁøÀÔ½Ã rotation_IN À¸·Î ÁøÀÔ

// altitudeFrom -50 , To : -65 ÀÌ º¸Åë¸Ê ¼³Á¤ 
//              -25 ´Â º¸Åë¸ÊÀÇ ÃÖ´ëÇã¿ë¹üÀ§
// altitude_IN : ¸Ê¿¡ ÁøÀÔ½Ã altitude_INÀ¸·Î ÁøÀÔ

//nome do mapa  zoom_MIN zoomMAX  zoomENTRADA(melhor deixar <= zoom_MIN + zoom_MAX)           
// ¸Ê ÀÌ¸§ 	range	scope 	range_IN	rotationFrom 	rotationTo	rotation_IN	altitudeFrom	altitudeTo	altitude_IN
//ex_map02.rsw#	250#	400#	699#		-360#		360#		0#		-50#		-65#		-65#


////  instancias ////
cheffenia09.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cheffenia10.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

//// worldmap ////

//// cavernas ////
prt_fild08d.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_fild08c.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_fild08b.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_fild08a.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

iz_ac01_d.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_ac02_d.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_ac01_c.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_ac02_c.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_ac01_b.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_ac02_b.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_ac01_a.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_ac02_a.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

izlude_d.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
izlude_c.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
izlude_b.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
izlude_a.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#


iz_int.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_int01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_int02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_int03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_int04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_ac01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_ac02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_ng01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
treasure_n1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
treasure_n2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

moc_prydn1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_prydn2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

eclage.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ecl_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ecl_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ecl_in02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ecl_in03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ecl_in04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

ecl_tdun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ecl_tdun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ecl_tdun03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ecl_tdun04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ecl_hub01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_avan01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#


malaya.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ma_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ma_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ma_scene01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ma_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ma_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@ma_h.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@ma_c.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@ma_b.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ma_zif01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ma_zif02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ma_zif03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ma_zif04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ma_zif05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ma_zif06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ma_zif07.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ma_zif08.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ma_zif09.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job_ko.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

gld_dun01_2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gld_dun02_2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gld_dun03_2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gld_dun04_2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gld2_ald.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gld2_gef.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gld2_pay.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gld2_prt.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

lhz_dun04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_lhz.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

iz_dun05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
malangdo.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mal_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mal_in02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mal_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

dic_dun03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_house_s.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#


bif_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bif_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@mist.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mora.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
dicastes01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
dicastes02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
dic_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
dic_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
dic_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
dic_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
dic_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job3_gen01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
s_atelier.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
brasilis.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bra_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bra_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bra_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bra_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

job3_arch01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job3_arch02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job3_arch03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job3_guil01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job3_guil02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job3_guil03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job3_rang01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job3_rang02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job3_rune01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job3_rune02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job3_rune03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job3_war01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job3_war02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
jupe_core2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@nyd.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
2@nyd.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
nyd_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
nyd_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
manuk.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
man_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
man_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
splendide.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
spl_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
spl_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
spl_in02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bat_c01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bat_c02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bat_c03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mid_camp.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mid_campin.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
man_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
man_fild03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
spl_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
spl_fild03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild22b.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_dan01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_dan02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
schg_que01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
schg_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
arug_que01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
arug_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@orcs.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
2@orcs.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@cata.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
2@cata.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
e_tower.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@tower.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
2@tower.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
3@tower.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
4@tower.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
5@tower.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
6@tower.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bat_room.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bat_a01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bat_a02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bat_b01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bat_b02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_qsch01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_qsch02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_qsch03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_qsch04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_qsch05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_qaru01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_qaru02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_qaru03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_qaru04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_qaru05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
arug_cas01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
arug_cas02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
arug_cas03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
arug_cas04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
arug_cas05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
aru_gld.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moscovia.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mosk_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mosk_ship.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mosk_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mosk_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mosk_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mosk_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mosk_dun03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mosk_que.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
schg_cas01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
schg_cas02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
schg_cas03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
schg_cas04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
schg_cas05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
sch_gld.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
cave.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild20.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild21.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_fild22.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bossnia_01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bossnia_02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bossnia_03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bossnia_04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
itemmall.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
poring_w01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
poring_w02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
nameless_i.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
nameless_n.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
nameless_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
abbey01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
abbey02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
abbey03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_temsky.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
z_agit.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
veins.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ve_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ve_in02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ve_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mal_in02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ve_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ve_fild03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ve_fild04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ve_fild05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ve_fild06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ve_fild07.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
thor_camp.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_thor.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
thor_v01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
thor_v02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
thor_v03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
rachel.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_temple.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_temin.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_rachel.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_temsky.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_fild03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_fild04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_fild05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_fild06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_fild07.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_fild08.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_fild09.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_fild10.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_fild11.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_fild12.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_fild13.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_san01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_san02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_san03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_san04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ra_san05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ice_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ice_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ice_dun03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ice_dun04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
hugel.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
hu_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_bingo.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_hugel.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
p_track01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
p_track02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
odin_tem01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
odin_tem02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
odin_tem03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
hu_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
hu_fild03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
hu_fild06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ein_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ein_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ein_fild05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
yuno_fild10.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
kh_kiehl02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
kh_kiehl01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
kh_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
kh_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
kh_mansion.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
kh_rossi.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
kh_school.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
